target_name	acc	target_len	query_name	acc_2	query_len	full_evalue	full_score	full_bias	dom_num	of	dom_c-Evalue	dom_i-Evalue	dom_score	dom_bias	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc3	file
Cro	PF09048.10	59	HJKFIDMD_00033	-	66	1.3e-33	114.8	0.1	1	1	1.6e-37	1.4999999999999999e-33	114.6	0.1	1	59	1	60	1	60	0.98	NZ_CAADJH010000002.1_1520985-1521881.tsv
Phage_CII	PF05269.11	91	HJKFIDMD_00034	-	97	4e-48	161.6	1.2	1	1	1.1999999999999999e-51	4.5e-48	161.4	1.2	1	91	1	91	1	91	1.0	NZ_CAADJH010000002.1_1520985-1521881.tsv
Phage_rep_O	PF04492.13	95	HJKFIDMD_00036	-	273	1.7e-32	111.8	0.1	1	1	3.3e-36	2.9e-32	111.1	0.1	1	95	19	113	19	113	0.99	NZ_CAADJH010000002.1_1520985-1521881.tsv
DnaB_C	PF03796.15	255	HJKFIDMD_00037	-	458	9.299999999999999e-77	257.8	0.1	1	1	4.299999999999998e-80	1.4999999999999992e-76	257.1	0.1	2	246	171	422	170	428	0.94	NZ_CAADJH010000002.1_1520985-1521881.tsv
NinB	PF05772.12	131	HJKFIDMD_00042	-	136	7.1e-54	181.1	0.5	1	1	4.4e-58	7.9e-54	181.0	0.5	1	131	1	131	1	131	0.99	NZ_CAADJH010000002.1_1520985-1521881.tsv
UPF0242	PF06785.11	193	HJKFIDMD_00043	-	133	0.006999999999999999	16.5	0.2	1	1	3.4e-06	0.0077	16.4	0.2	88	138	75	125	22	130	0.76	NZ_CAADJH010000002.1_1520985-1521881.tsv
NinF	PF05810.12	58	HJKFIDMD_00044	-	69	1.4999999999999998e-34	117.6	6.9	1	1	3.9e-38	1.8e-34	117.4	6.9	1	58	12	68	12	68	0.99	NZ_CAADJH010000002.1_1520985-1521881.tsv
ANT	PF03374.14	108	HJKFIDMD_00045	-	240	1.9e-30	105.3	0.0	1	1	5.8e-34	3.5e-30	104.5	0.0	1	106	126	228	126	230	0.97	NZ_CAADJH010000002.1_1520985-1521881.tsv
DUF1364	PF07102.12	92	HJKFIDMD_00046	-	96	2.3999999999999998e-43	145.9	0.4	1	1	2.9e-47	2.6e-43	145.8	0.4	2	91	3	92	2	93	0.98	NZ_CAADJH010000002.1_1520985-1521881.tsv
RusA	PF05866.11	124	HJKFIDMD_00047	-	120	1.7e-16	60.9	0.1	1	1	1.3e-20	2.3e-16	60.5	0.1	1	123	9	114	9	115	0.88	NZ_CAADJH010000002.1_1520985-1521881.tsv
Phage_NinH	PF06322.11	60	HJKFIDMD_00048	-	62	1.2e-29	101.9	0.4	1	1	2.2e-33	1.3e-29	101.8	0.4	1	60	1	60	1	60	0.99	NZ_CAADJH010000002.1_1520985-1521881.tsv
Antiterm	PF03589.13	87	HJKFIDMD_00049	-	207	1.3999999999999995e-54	182.4	2.4	1	2	7.7e-33	3.4000000000000003e-29	101.0	1.0	1	87	23	111	23	111	0.99	NZ_CAADJH010000002.1_1520985-1521881.tsv
Phage_holin_3_1	PF05106.12	99	HJKFIDMD_00050	-	107	5.9e-28	97.2	1.0	1	1	3.7e-32	6.6e-28	97.1	1.0	9	99	8	98	2	98	0.96	NZ_CAADJH010000002.1_1520985-1521881.tsv
Phage_lysozyme	PF00959.19	109	HJKFIDMD_00051	-	158	1.5e-22	80.1	0.0	1	1	1.3e-26	2.3e-22	79.5	0.0	1	107	33	139	33	141	0.97	NZ_CAADJH010000002.1_1520985-1521881.tsv
Phage_lysis	PF03245.13	126	HJKFIDMD_00052	-	153	2.7e-40	137.4	7.3	1	1	6.9e-44	3.0999999999999997e-40	137.2	7.3	2	126	31	152	30	152	0.98	NZ_CAADJH010000002.1_1520985-1521881.tsv
ORF11CD3	PF10549.9	53	HJKFIDMD_00053	-	180	3.5000000000000005e-22	78.3	0.1	1	1	6.8e-26	6.100000000000001e-22	77.5	0.1	3	53	125	176	124	176	0.98	NZ_CAADJH010000002.1_1520985-1521881.tsv
HNH_3	PF13392.6	46	HJKFIDMD_00054	-	165	8.3e-10	38.3	1.0	1	2	2.3e-13	8.3e-10	38.3	1.0	1	46	44	92	44	92	0.88	NZ_CAADJH010000002.1_1520985-1521881.tsv
Terminase_2	PF03592.16	140	HJKFIDMD_00055	-	184	1.2e-40	139.2	0.1	1	1	1.6999999999999996e-44	1.4999999999999997e-40	138.9	0.1	1	138	4	155	4	157	0.95	NZ_CAADJH010000002.1_1520985-1521881.tsv
DUF1073	PF06381.11	357	HJKFIDMD_00057	-	489	1.1999999999999993e-110	369.7	0.0	1	1	8.8e-115	1.5999999999999996e-110	369.3	0.0	6	355	54	402	50	404	0.96	NZ_CAADJH010000002.1_1520985-1521881.tsv
Phage_Mu_F	PF04233.14	112	HJKFIDMD_00058	-	202	9.499999999999999e-17	61.8	0.0	1	1	2e-20	1.8000000000000002e-16	60.8	0.0	2	109	82	188	81	191	0.88	NZ_CAADJH010000002.1_1520985-1521881.tsv
DUF2213	PF09979.9	168	HJKFIDMD_00059	-	406	5.9e-47	159.8	0.0	1	1	1.1e-50	9.799999999999999e-47	159.1	0.0	3	167	15	181	13	182	0.97	NZ_CAADJH010000002.1_1520985-1521881.tsv
Phage_integrase	PF00589.22	172	HJKFIDMD_00060	-	409	4.6e-21	75.4	0.0	1	2	0.23	1000.0	-0.7	0.1	94	121	91	115	46	170	0.6	NZ_CAADJH010000002.1_1520985-1521881.tsv
Phage_AlpA	PF05930.12	51	HJKFIDMD_00061	-	70	0.00012	21.9	0.1	1	1	2e-08	0.00018	21.3	0.1	17	51	23	58	20	58	0.88	NZ_CAADJH010000002.1_1520985-1521881.tsv
Big_2	PF02368.18	79	IFIEMDKF_00001	-	389	1.1e-18	66.9	12.2	1	1	1.7e-22	3e-18	65.5	12.2	2	77	308	383	307	385	0.92	CP015876_3673556-3674386.tsv
DUF4128	PF13554.6	128	IFIEMDKF_00002	-	135	1.8000000000000002e-14	53.9	0.0	1	1	1.2e-18	2.2e-14	53.6	0.0	1	128	5	132	5	132	0.94	CP015876_3673556-3674386.tsv
Phage_Mu_F	PF04233.14	112	IFIEMDKF_00005	-	343	8.9e-07	29.6	1.9	1	2	1.4	12000.0	-3.0	0.1	20	36	6	22	2	44	0.45	CP015876_3673556-3674386.tsv
DUF1967	PF09269.11	70	IFIEMDKF_00007	-	126	0.42	10.6	2.7	1	2	0.043	380.0	1.1	0.1	47	59	64	76	59	84	0.77	CP015876_3673556-3674386.tsv
DUF2184	PF09950.9	251	IFIEMDKF_00008	-	319	2.7999999999999996e-71	239.8	0.0	1	1	1.8999999999999992e-75	3.2999999999999998e-71	239.6	0.0	1	251	61	314	61	314	0.98	CP015876_3673556-3674386.tsv
DUF2190	PF09956.9	102	IFIEMDKF_00009	-	161	0.05	14.1	3.0	1	1	5.700000000000001e-06	0.1	13.1	3.0	7	98	29	149	24	153	0.66	CP015876_3673556-3674386.tsv
DUF2213	PF09979.9	168	IFIEMDKF_00010	-	377	8e-43	146.3	0.5	1	2	2.9e-46	1.7e-42	145.3	0.1	3	167	14	181	12	182	0.97	CP015876_3673556-3674386.tsv
DUF1073	PF06381.11	357	IFIEMDKF_00011	-	598	7.099999999999997e-112	373.7	0.0	1	1	1.399999999999999e-115	8.499999999999996e-112	373.5	0.0	3	356	40	385	38	386	0.98	CP015876_3673556-3674386.tsv
Terminase_6	PF03237.15	215	IFIEMDKF_00012	-	428	1.9e-30	106.2	0.0	1	1	3.3e-34	3e-30	105.5	0.0	2	209	21	232	21	237	0.96	CP015876_3673556-3674386.tsv
DUF2280	PF10045.9	103	IFIEMDKF_00013	-	153	1.5e-50	169.8	0.4	1	1	1.1999999999999998e-54	2.2e-50	169.2	0.4	1	103	1	103	1	103	0.99	CP015876_3673556-3674386.tsv
Phage_holin_3_7	PF05449.11	80	IFIEMDKF_00017	-	105	2.3e-11	43.5	0.3	1	1	3.7e-15	3.3e-11	43.1	0.3	8	80	18	95	10	95	0.84	CP015876_3673556-3674386.tsv
Phage_holin_8	PF16931.5	123	IFIEMDKF_00018	-	129	6.9e-18	64.8	3.5	1	1	4.1e-22	7.4e-18	64.7	3.5	1	96	1	96	1	127	0.9	CP015876_3673556-3674386.tsv
NrsF	PF06532.11	204	IFIEMDKF_00019	-	87	0.048	13.4	3.3	1	1	5.600000000000001e-05	0.33	10.6	2.9	46	103	14	73	10	81	0.76	CP015876_3673556-3674386.tsv
Bac_globin	PF01152.21	121	IFIEMDKF_00020	-	196	0.083	13.0	1.9	1	2	0.0048	86.0	3.3	0.6	70	99	35	64	31	76	0.82	CP015876_3673556-3674386.tsv
NinG	PF05766.12	186	IFIEMDKF_00022	-	200	6.799999999999999e-67	225.0	4.4	1	1	1.7999999999999994e-70	8.099999999999996e-67	224.8	4.4	2	186	4	197	3	197	0.94	CP015876_3673556-3674386.tsv
NinB	PF05772.12	131	IFIEMDKF_00023	-	132	1.4999999999999996e-36	125.1	0.2	1	1	1.7999999999999994e-40	1.6e-36	125.0	0.2	6	131	5	123	1	123	0.91	CP015876_3673556-3674386.tsv
Phage_lambda_P	PF06992.11	162	IFIEMDKF_00026	-	241	4.2e-28	98.1	0.5	1	1	4.8e-31	4.3e-27	94.8	0.5	2	92	32	121	31	179	0.84	CP015876_3673556-3674386.tsv
HTH_36	PF13730.6	55	IFIEMDKF_00027	-	249	3.3e-06	27.0	0.0	1	2	2.9e-09	8.599999999999999e-06	25.6	0.0	3	55	23	75	21	75	0.96	CP015876_3673556-3674386.tsv
Phage_pRha	PF09669.10	88	IFIEMDKF_00029	-	266	3.4e-15	56.4	0.0	1	1	1e-18	6e-15	55.6	0.0	1	87	27	107	27	108	0.9	CP015876_3673556-3674386.tsv
Cas_Cas4	PF01930.17	162	IFIEMDKF_00031	-	69	0.13	12.4	0.0	1	1	7.299999999999999e-06	0.13	12.3	0.0	64	100	14	50	2	60	0.86	CP015876_3673556-3674386.tsv
P22_Cro	PF14549.6	60	IFIEMDKF_00032	-	58	2.2e-21	75.5	0.2	1	1	2.5000000000000003e-25	2.2e-21	75.4	0.2	1	52	2	53	2	58	0.94	CP015876_3673556-3674386.tsv
Peptidase_S24	PF00717.23	70	IFIEMDKF_00033	-	222	5.2e-09	35.9	0.0	1	1	1e-11	1.1e-08	34.9	0.0	1	69	132	204	132	205	0.94	CP015876_3673556-3674386.tsv
BstA	-	285	IFIEMDKF_00035	-	304	2.599999999999999e-109	364.7	0.1	1	1	1.6999999999999993e-113	2.9999999999999983e-109	364.5	0.1	1	282	10	292	10	295	0.96	CP015876_3673556-3674386.tsv
SpaA	PF17802.1	82	IFIEMDKF_00036	-	163	0.0009	19.5	0.0	1	1	4.2e-07	0.0011	19.3	0.0	30	70	94	139	34	150	0.74	CP015876_3673556-3674386.tsv
Staphopain_pro	PF14731.6	169	IFIEMDKF_00037	-	202	0.02	14.9	0.1	1	2	0.005	45.0	4.0	0.0	61	79	57	75	53	81	0.86	CP015876_3673556-3674386.tsv
zf-C2H2_4	PF13894.6	24	IFIEMDKF_00040	-	74	0.038	14.8	1.0	1	1	5.9e-06	0.11	13.4	1.0	1	24	8	31	8	31	0.94	CP015876_3673556-3674386.tsv
DUF5304	PF17230.2	148	IFIEMDKF_00041	-	138	0.0074	16.5	0.2	1	1	1.5e-06	0.013	15.7	0.2	29	77	62	110	55	126	0.89	CP015876_3673556-3674386.tsv
DUF762	PF05555.11	245	IFIEMDKF_00045	-	151	0.06	12.9	0.0	1	1	4.7e-06	0.084	12.4	0.0	82	100	93	111	68	116	0.92	CP015876_3673556-3674386.tsv
Rad52_Rad22	PF04098.15	153	IFIEMDKF_00047	-	243	0.0019	18.1	0.4	1	1	1.2e-06	0.0036	17.2	0.2	21	127	23	141	3	175	0.67	CP015876_3673556-3674386.tsv
Sipho_Gp157	PF05565.11	163	IFIEMDKF_00048	-	187	8.499999999999999e-36	123.4	3.4	1	2	1.1e-39	1e-35	123.2	2.3	1	148	3	149	3	157	0.96	CP015876_3673556-3674386.tsv
Pilus_CpaD	PF09476.10	201	IFIEMDKF_00055	-	499	0.0005200000000000001	19.8	0.1	1	2	0.00075	1.2	8.8	0.0	89	148	152	211	142	219	0.9	CP015876_3673556-3674386.tsv
ASCH	PF04266.14	107	IFIEMDKF_00057	-	219	0.035	14.7	0.0	1	1	1.8e-05	0.32	11.6	0.0	3	79	11	181	9	199	0.72	CP015876_3673556-3674386.tsv
KH_4	PF13083.6	73	IFIEMDKF_00059	-	170	0.11	12.4	1.2	1	2	0.0077	140.0	2.5	0.1	48	67	89	108	88	112	0.86	CP015876_3673556-3674386.tsv
DUF2591	PF10765.9	116	IFIEMDKF_00060	-	130	3.3e-16	59.6	0.0	1	1	2.1e-20	3.7999999999999996e-16	59.4	0.0	1	115	8	116	8	117	0.93	CP015876_3673556-3674386.tsv
DUF772	PF05598.11	73	IFIEMDKF_00061	-	111	0.13	12.2	0.1	1	1	1.2e-05	0.21	11.6	0.1	24	63	16	48	8	58	0.79	CP015876_3673556-3674386.tsv
GcrA	PF07750.11	162	IFIEMDKF_00062	-	94	0.12	12.8	2.7	1	1	7.400000000000001e-06	0.13	12.6	2.7	108	148	26	69	6	84	0.7	CP015876_3673556-3674386.tsv
zf-FPG_IleRS	PF06827.14	30	IFIEMDKF_00063	-	53	0.001	18.9	2.8	1	2	0.002	9.1	6.3	0.4	3	9	7	13	7	21	0.89	CP015876_3673556-3674386.tsv
Phage_integrase	PF00589.22	172	IFIEMDKF_00065	-	392	6.3e-14	52.1	0.0	1	1	1.5e-17	1.4e-13	51.0	0.0	13	167	193	360	182	363	0.88	CP015876_3673556-3674386.tsv
Phage_integrase	PF00589.22	172	IFIEMDKF_00066	-	454	9.2e-18	64.6	0.0	1	2	0.15	530.0	0.3	0.0	27	46	70	89	55	140	0.86	CP015876_3673556-3674386.tsv
DUF4351	PF14261.6	59	IFIEMDKF_00067	-	331	0.0013	18.8	3.1	1	2	0.013	230.0	2.0	0.1	46	56	208	218	206	220	0.88	CP015876_3673556-3674386.tsv
DUF3987	PF13148.6	365	IFIEMDKF_00068	-	186	1.2999999999999998e-19	70.5	0.0	1	1	1.6999999999999994e-23	1.5e-19	70.2	0.0	274	364	6	92	1	93	0.94	CP015876_3673556-3674386.tsv
Aminotran_1_2	PF00155.21	363	CHPDPGNM_00001	-	412	3.5e-60	204.1	0.0	1	1	6.499999999999998e-64	3.899999999999999e-60	203.9	0.0	2	354	37	381	36	390	0.92	LR134156_1473092-1474012.tsv
Lip_A_acyltrans	PF03279.13	295	CHPDPGNM_00002	-	306	3.1999999999999985e-112	374.5	0.0	1	1	4.099999999999998e-116	3.6999999999999984e-112	374.3	0.0	3	295	6	296	4	296	0.99	LR134156_1473092-1474012.tsv
DUF2545	PF10810.8	80	CHPDPGNM_00003	-	80	2.3999999999999997e-41	139.7	9.2	1	1	2.999999999999999e-45	2.7e-41	139.6	9.2	1	80	1	80	1	80	1.0	LR134156_1473092-1474012.tsv
MFS_1	PF07690.16	353	CHPDPGNM_00004	-	463	1.5e-48	165.5	41.3	1	2	1.4e-51	6.499999999999999e-48	163.5	33.4	1	352	34	402	32	403	0.86	LR134156_1473092-1474012.tsv
SBP_bac_6	PF13343.6	245	CHPDPGNM_00005	-	424	1.5999999999999998e-30	106.3	0.0	1	1	7.2e-34	2.2e-30	105.9	0.0	2	233	86	314	85	326	0.92	LR134156_1473092-1474012.tsv
HAMP	PF00672.25	53	CHPDPGNM_00006	-	437	9.3e-08	32.3	0.3	1	2	3.7	11000.0	-3.1	0.0	7	18	239	250	234	251	0.82	LR134156_1473092-1474012.tsv
HATPase_c	PF02518.26	112	CHPDPGNM_00007	-	234	1.7e-15	57.5	0.0	1	1	9.599999999999999e-19	2.5e-15	57.0	0.0	1	109	123	226	123	229	0.93	LR134156_1473092-1474012.tsv
Response_reg	PF00072.24	112	CHPDPGNM_00008	-	415	5.9e-26	90.8	0.0	1	2	7.200000000000001e-29	1.8e-25	89.2	0.0	1	110	8	116	8	118	0.98	LR134156_1473092-1474012.tsv
Omptin	PF01278.20	283	CHPDPGNM_00009	-	107	7.9e-20	71.1	0.0	1	1	1e-23	9.3e-20	70.8	0.0	2	64	31	92	30	100	0.94	LR134156_1473092-1474012.tsv
Omptin	PF01278.20	283	CHPDPGNM_00010	-	205	2.1999999999999998e-88	296.0	10.1	1	1	2.7e-92	2.399999999999999e-88	295.8	10.1	81	283	2	205	1	205	0.99	LR134156_1473092-1474012.tsv
Phage_AlpA	PF05930.12	51	CHPDPGNM_00011	-	73	0.0011	18.7	0.0	1	1	7.599999999999999e-08	0.0014	18.4	0.0	5	50	11	55	7	56	0.84	LR134156_1473092-1474012.tsv
HNH_3	PF13392.6	46	CHPDPGNM_00014	-	160	2.1e-10	40.2	1.3	1	2	0.93	8300.0	-3.3	0.1	36	45	24	33	24	33	0.86	LR134156_1473092-1474012.tsv
TIR	PF01582.20	176	CHPDPGNM_00016	-	76	0.048	13.5	0.0	1	1	3.3e-06	0.06	13.2	0.0	89	127	7	45	3	54	0.83	LR134156_1473092-1474012.tsv
Ead_Ea22	PF13935.6	139	CHPDPGNM_00017	-	263	4e-40	137.7	0.6	1	2	2.9999999999999996e-43	7.8e-40	136.8	0.2	1	139	2	144	2	144	0.99	LR134156_1473092-1474012.tsv
DUF3481	PF11980.8	82	CHPDPGNM_00019	-	62	0.046	13.4	0.0	1	1	3.2e-06	0.057	13.1	0.0	48	68	10	30	4	44	0.78	LR134156_1473092-1474012.tsv
DUF2737	PF10930.8	53	CHPDPGNM_00021	-	56	1.9e-22	78.6	0.7	1	1	1.3e-26	2.3e-22	78.3	0.7	1	53	1	55	1	55	0.94	LR134156_1473092-1474012.tsv
DUF2856	PF11043.8	97	CHPDPGNM_00022	-	97	4.5e-65	215.9	0.3	1	1	2.8e-69	4.999999999999998e-65	215.7	0.3	1	97	1	97	1	97	1.0	LR134156_1473092-1474012.tsv
Sigma70_r4_2	PF08281.12	54	CHPDPGNM_00023	-	94	6.900000000000002e-06	25.6	0.7	1	2	3.8	5700.0	-2.9	0.0	32	39	23	30	22	32	0.75	LR134156_1473092-1474012.tsv
ERF	PF04404.12	153	CHPDPGNM_00024	-	205	2.2999999999999998e-39	134.7	0.4	1	1	3.5e-43	3.1e-39	134.3	0.4	1	145	5	143	5	151	0.88	LR134156_1473092-1474012.tsv
Phage_Arf	PF17585.2	47	CHPDPGNM_00025	-	56	6.3e-32	109.3	3.6	1	1	4.2999999999999995e-36	7.599999999999998e-32	109.0	3.6	1	44	1	44	1	46	0.99	LR134156_1473092-1474012.tsv
DUF5444	PF17519.2	62	CHPDPGNM_00026	-	62	1.6e-32	111.2	0.6	1	1	2.9999999999999995e-36	1.8e-32	111.1	0.6	1	62	1	62	1	62	0.98	LR134156_1473092-1474012.tsv
Pentapeptide	PF00805.22	40	CHPDPGNM_00027	-	214	3.3999999999999998e-37	125.6	44.2	1	4	1.3e-11	7.7e-08	31.8	2.0	4	28	25	49	25	49	0.9	LR134156_1473092-1474012.tsv
DUF2767	PF10965.8	67	CHPDPGNM_00029	-	69	3.5e-30	103.8	0.8	1	1	2.1e-34	3.8e-30	103.7	0.8	1	67	1	67	1	67	0.99	LR134156_1473092-1474012.tsv
BstA	-	285	CHPDPGNM_00030	-	353	2.499999999999999e-127	423.8	0.0	1	1	1.699999999999999e-131	2.999999999999999e-127	423.5	0.0	1	284	12	295	12	296	0.99	LR134156_1473092-1474012.tsv
Peptidase_S24	PF00717.23	70	CHPDPGNM_00031	-	217	2.6e-14	52.9	0.0	1	1	2.8999999999999997e-17	4.2999999999999993e-14	52.2	0.0	1	69	125	198	125	199	0.96	LR134156_1473092-1474012.tsv
HTH_31	PF13560.6	64	CHPDPGNM_00032	-	69	1.1e-08	35.2	0.0	1	1	9.5e-12	1.4e-08	34.9	0.0	7	52	5	49	3	52	0.87	LR134156_1473092-1474012.tsv
Phage_CII	PF05269.11	91	CHPDPGNM_00033	-	92	1.4e-47	159.8	0.1	1	1	1e-50	1.4999999999999998e-47	159.7	0.1	1	91	1	91	1	91	0.99	LR134156_1473092-1474012.tsv
DUF2740	PF10872.8	48	CHPDPGNM_00034	-	48	3.7e-35	119.6	3.9	1	1	4.4999999999999994e-39	4.1e-35	119.4	3.9	1	48	1	48	1	48	1.0	LR134156_1473092-1474012.tsv
Phage_rep_O	PF04492.13	95	CHPDPGNM_00035	-	286	5e-36	123.2	0.2	1	2	1.4999999999999995e-39	1.4e-35	121.8	0.1	1	95	20	114	20	114	0.99	LR134156_1473092-1474012.tsv
Toprim_2	PF13155.6	90	CHPDPGNM_00036	-	626	3.9e-12	46.4	0.0	1	1	4.4e-15	1.1e-11	45.0	0.0	1	89	209	295	209	296	0.79	LR134156_1473092-1474012.tsv
NinB	PF05772.12	131	CHPDPGNM_00038	-	146	4.2000000000000005e-52	175.4	0.2	1	1	2.9e-56	5.2e-52	175.1	0.2	2	131	3	128	2	128	0.99	LR134156_1473092-1474012.tsv
HNH	PF01844.23	47	CHPDPGNM_00041	-	156	0.066	13.4	8.4	1	1	2.9e-05	0.1	12.8	8.4	1	44	24	69	24	72	0.92	LR134156_1473092-1474012.tsv
TolA_bind_tri	PF16331.5	76	CHPDPGNM_00042	-	60	0.013	15.5	3.5	1	1	2.6e-06	0.016	15.3	3.5	21	61	8	48	4	56	0.91	LR134156_1473092-1474012.tsv
Antiterm	PF03589.13	87	CHPDPGNM_00043	-	207	1.8000000000000002e-54	182.0	1.9	1	2	7.7e-33	3.4000000000000003e-29	101.0	1.0	1	87	23	111	23	111	0.99	LR134156_1473092-1474012.tsv
HNH_3	PF13392.6	46	CHPDPGNM_00044	-	162	3.6000000000000003e-20	71.5	1.1	1	1	1.1e-23	9.4e-20	70.1	1.1	1	45	51	95	51	96	0.97	LR134156_1473092-1474012.tsv
Phage_holin_3_1	PF05106.12	99	CHPDPGNM_00046	-	108	1.7e-27	95.7	1.3	1	1	1.1e-31	1.9e-27	95.6	1.3	9	99	9	99	2	99	0.94	LR134156_1473092-1474012.tsv
Phage_lysozyme	PF00959.19	109	CHPDPGNM_00047	-	145	1.6e-25	89.6	0.0	1	1	1.1e-29	2e-25	89.3	0.0	1	109	28	138	28	138	0.96	LR134156_1473092-1474012.tsv
Phage_lysis	PF03245.13	126	CHPDPGNM_00048	-	146	1.7e-41	141.2	5.4	1	1	3.4e-45	2e-41	141.1	5.4	2	126	24	145	23	145	0.98	LR134156_1473092-1474012.tsv
KilA-N	PF04383.13	112	CHPDPGNM_00049	-	173	2.7e-22	78.7	0.0	1	1	4.200000000000001e-26	3.8e-22	78.3	0.0	4	111	7	114	4	115	0.88	LR134156_1473092-1474012.tsv
DUF2560	PF10834.8	72	CHPDPGNM_00050	-	80	5.1e-23	81.1	3.1	1	1	3.2e-27	5.799999999999999e-23	80.9	3.1	1	72	5	76	5	76	0.98	LR134156_1473092-1474012.tsv
