target_name	acc	target_len	query_name	acc_2	query_len	full_evalue	full_score	full_bias	dom_num	of	dom_c-Evalue	dom_i-Evalue	dom_score	dom_bias	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc3
Reg_prop	PF07494.11	24	GFGJDNII_00014	-	293	0.0016	18.4	2.7	1	5	2.7	7000.0	-2.0	0.0	9	22	57	68	51	69	0.68
Reg_prop	PF07494.11	24	GFGJDNII_00014	-	293	0.0016	18.4	2.7	2	5	0.0033	8.5	7.0	0.0	13	22	107	116	104	117	0.9
Reg_prop	PF07494.11	24	GFGJDNII_00014	-	293	0.0016	18.4	2.7	3	5	0.66	1700.0	-0.1	0.0	6	20	126	141	122	142	0.82
Reg_prop	PF07494.11	24	GFGJDNII_00014	-	293	0.0016	18.4	2.7	4	5	2.3	5900.0	-1.7	0.0	9	21	151	164	143	166	0.75
Reg_prop	PF07494.11	24	GFGJDNII_00014	-	293	0.0016	18.4	2.7	5	5	0.0041	11.0	6.7	0.2	12	24	206	218	203	218	0.87
Phytase-like	PF13449.6	286	GFGJDNII_00014	-	293	0.0078	16.2	0.0	1	2	2.9	7500.0	-3.4	0.0	134	161	61	87	53	102	0.53
Phytase-like	PF13449.6	286	GFGJDNII_00014	-	293	0.0078	16.2	0.0	2	2	7.499999999999999e-06	0.019	14.9	0.0	8	109	151	240	150	246	0.81
PD40	PF07676.12	38	GFGJDNII_00014	-	293	0.013000000000000001	15.4	0.1	1	3	0.73	1900.0	-1.0	0.0	11	25	14	28	10	29	0.73
PD40	PF07676.12	38	GFGJDNII_00014	-	293	0.013000000000000001	15.4	0.1	2	3	0.00027	0.69	9.9	0.0	15	24	153	162	151	164	0.93
PD40	PF07676.12	38	GFGJDNII_00014	-	293	0.013000000000000001	15.4	0.1	3	3	0.22	550.0	0.7	0.0	15	21	224	230	223	231	0.86
Str_synth	PF03088.16	89	GFGJDNII_00014	-	293	0.091	12.9	0.0	1	1	0.00011	0.28	11.3	0.0	23	85	114	174	106	190	0.85
Proteasome_A_N	PF10584.9	23	GFGJDNII_00014	-	293	0.1	12.3	0.2	1	2	0.022000000000000002	56.0	3.6	0.1	8	13	154	159	153	159	0.91
Proteasome_A_N	PF10584.9	23	GFGJDNII_00014	-	293	0.1	12.3	0.2	2	2	0.0037	9.4	6.0	0.0	6	14	223	231	221	231	0.85
Arylesterase	PF01731.20	86	GFGJDNII_00014	-	293	0.24	11.6	0.0	1	1	0.00022999999999999998	0.58	10.4	0.0	27	73	119	166	109	177	0.76
Epimerase	PF01370.21	241	GFGJDNII_00015	-	268	4.6e-19	68.8	0.0	1	1	3.5000000000000005e-22	6.3e-19	68.4	0.0	2	169	10	167	9	175	0.87
GDP_Man_Dehyd	PF16363.5	332	GFGJDNII_00015	-	268	3.3999999999999996e-12	46.4	0.0	1	1	2.6e-15	4.7000000000000006e-12	45.9	0.0	52	180	47	167	10	179	0.81
3Beta_HSD	PF01073.19	280	GFGJDNII_00015	-	268	7.6e-11	41.5	0.0	1	1	6e-14	1.1000000000000001e-10	41.0	0.0	2	133	11	131	10	151	0.74
NAD_binding_10	PF13460.6	184	GFGJDNII_00015	-	268	2.8999999999999998e-08	33.8	0.0	1	1	2.2e-11	4e-08	33.4	0.0	1	99	13	116	13	149	0.8
NAD_binding_4	PF07993.12	257	GFGJDNII_00015	-	268	3.8e-07	29.5	0.1	1	2	0.015	26.0	3.8	0.2	1	16	11	26	11	33	0.92
NAD_binding_4	PF07993.12	257	GFGJDNII_00015	-	268	3.8e-07	29.5	0.1	2	2	1.8e-08	3.2e-05	23.2	0.0	78	211	59	175	54	206	0.78
RmlD_sub_bind	PF04321.17	287	GFGJDNII_00015	-	268	5.6e-06	25.7	0.0	1	1	4.3e-09	7.699999999999999e-06	25.2	0.0	2	137	8	152	7	174	0.86
Polysacc_synt_2	PF02719.15	294	GFGJDNII_00015	-	268	0.0007700000000000001	18.7	0.4	1	1	2.1000000000000002e-06	0.0037	16.4	0.4	58	130	51	117	9	121	0.8
adh_short	PF00106.25	195	GFGJDNII_00015	-	268	0.0086	15.5	0.0	1	1	1.1e-05	0.019	14.4	0.0	3	138	9	117	7	124	0.77
NmrA	PF05368.13	233	GFGJDNII_00015	-	268	0.044000000000000004	13.3	0.0	1	1	5.2000000000000004e-05	0.09300000000000001	12.3	0.0	46	102	50	115	44	133	0.86
KR	PF08659.10	180	GFGJDNII_00015	-	268	0.079	12.9	2.2	1	1	0.0015	2.7	7.9	2.2	4	130	10	109	8	127	0.62
OprD	PF03573.13	394	GFGJDNII_00016	-	412	9.199999999999997e-152	505.6	4.5	1	1	5.799999999999998e-156	9.999999999999998e-152	505.5	4.5	1	393	27	410	27	411	0.99
RelB	PF04221.12	83	GFGJDNII_00017	-	79	1.1000000000000001e-16	60.6	0.0	1	1	2.7e-20	1.2e-16	60.4	0.0	1	70	1	70	1	78	0.94
RHH_1	PF01402.21	39	GFGJDNII_00017	-	79	0.0004	20.2	2.1	1	2	2e-07	0.0008900000000000001	19.1	0.2	2	35	4	37	3	41	0.93
RHH_1	PF01402.21	39	GFGJDNII_00017	-	79	0.0004	20.2	2.1	2	2	0.17	780.0	0.3	0.1	7	17	55	65	55	66	0.89
VapB_antitoxin	PF09957.9	47	GFGJDNII_00017	-	79	0.0011	18.9	1.5	1	2	8.1e-06	0.036000000000000004	14.0	0.2	3	39	4	41	3	45	0.85
VapB_antitoxin	PF09957.9	47	GFGJDNII_00017	-	79	0.0011	18.9	1.5	2	2	0.012	55.0	3.8	0.1	8	20	55	67	53	78	0.92
ORF_12_N	PF18042.1	94	GFGJDNII_00017	-	79	0.11	12.9	0.2	1	2	0.57	2600.0	-1.1	0.0	83	91	3	11	2	14	0.85
ORF_12_N	PF18042.1	94	GFGJDNII_00017	-	79	0.11	12.9	0.2	2	2	5.4000000000000005e-05	0.24	11.8	0.1	45	90	31	78	10	79	0.82
ParE_toxin	PF05016.15	90	GFGJDNII_00018	-	95	4.7000000000000006e-12	46.4	1.4	1	1	6.3e-16	5.5999999999999996e-12	46.1	1.4	2	89	6	84	5	85	0.95
ParE-like_toxin	PF15781.5	87	GFGJDNII_00018	-	95	0.00015	21.7	0.1	1	1	2.6e-08	0.00023999999999999998	21.0	0.1	6	80	10	82	6	84	0.92
Bro-N	PF02498.17	95	GFGJDNII_00019	-	178	2.2999999999999998e-08	34.6	0.0	1	2	2.6000000000000002e-12	4.5999999999999995e-08	33.6	0.0	3	94	18	100	16	101	0.84
Bro-N	PF02498.17	95	GFGJDNII_00019	-	178	2.2999999999999998e-08	34.6	0.0	2	2	1.0	18000.0	-3.6	0.0	10	18	135	143	133	148	0.78
BstA	-	285	GFGJDNII_00020	-	295	2.899999999999999e-110	367.8	0.0	1	1	3.899999999999999e-114	3.5e-110	367.5	0.0	5	280	13	286	9	291	0.97
HTH_Crp_2	PF13545.6	68	GFGJDNII_00020	-	295	0.09	12.8	0.0	1	1	2.4e-05	0.21	11.6	0.0	21	57	36	72	20	78	0.85
Bro-N	PF02498.17	95	GFGJDNII_00021	-	255	1.1e-11	45.3	0.1	1	2	2.8e-15	2.5e-11	44.1	0.0	1	95	17	116	17	116	0.79
Bro-N	PF02498.17	95	GFGJDNII_00021	-	255	1.1e-11	45.3	0.1	2	2	0.9	8100.0	-2.4	0.1	17	46	136	163	134	185	0.56
PIN_12	PF16289.5	171	GFGJDNII_00021	-	255	0.024	15.1	2.1	1	2	0.042	380.0	1.5	0.0	5	49	3	43	1	111	0.6
PIN_12	PF16289.5	171	GFGJDNII_00021	-	255	0.024	15.1	2.1	2	2	1.3000000000000001e-05	0.11	12.9	0.4	66	152	159	251	128	253	0.63
Ribonuc_red_sm	PF00268.21	279	GFGJDNII_00022	-	416	2.7999999999999994e-86	289.5	0.4	1	1	3.799999999999999e-90	3.399999999999999e-86	289.2	0.4	2	279	96	383	95	383	0.98
PPP5	PF08321.12	94	GFGJDNII_00022	-	416	0.11	12.8	0.0	1	1	3.2e-05	0.29	11.4	0.0	3	40	176	213	174	255	0.86
Ribonuc_red_lgC	PF02867.15	524	GFGJDNII_00024	-	959	4.799999999999998e-181	602.9	0.0	1	1	1.0999999999999997e-184	6.399999999999997e-181	602.4	0.0	1	523	371	905	371	906	0.97
ATP-cone	PF03477.16	86	GFGJDNII_00024	-	959	3.2e-29	101.3	0.7	1	3	1.1e-22	6.7e-19	68.2	0.3	2	85	33	129	32	130	0.92
ATP-cone	PF03477.16	86	GFGJDNII_00024	-	959	3.2e-29	101.3	0.7	2	3	1e-10	6e-07	29.9	0.0	3	85	150	233	148	234	0.88
ATP-cone	PF03477.16	86	GFGJDNII_00024	-	959	3.2e-29	101.3	0.7	3	3	1.1	6400.0	-2.2	0.0	11	23	276	288	274	292	0.88
Ribonuc_red_lgN	PF00317.21	83	GFGJDNII_00024	-	959	5.6e-22	77.6	0.1	1	1	2.4e-25	1.5e-21	76.2	0.1	2	80	294	365	293	368	0.94
Response_reg	PF00072.24	112	GFGJDNII_00025	-	232	2.9e-26	91.8	0.0	1	1	5.2e-30	4.6e-26	91.2	0.0	1	112	8	117	8	117	0.93
Trans_reg_C	PF00486.28	77	GFGJDNII_00025	-	232	1.1e-21	76.7	0.0	1	1	2.0999999999999996e-25	1.9000000000000003e-21	75.9	0.0	3	77	153	227	150	227	0.97
HATPase_c	PF02518.26	112	GFGJDNII_00026	-	535	1.2e-21	77.3	0.0	1	2	1.8	6500.0	-2.4	0.0	71	80	165	174	151	196	0.61
HATPase_c	PF02518.26	112	GFGJDNII_00026	-	535	1.2e-21	77.3	0.0	2	2	1.1e-24	4.0000000000000004e-21	75.6	0.0	3	110	423	530	421	532	0.9
HisKA	PF00512.25	67	GFGJDNII_00026	-	535	1.5e-11	44.1	0.4	1	1	1.5999999999999998e-14	5.7000000000000003e-11	42.3	0.4	1	67	308	373	308	373	0.92
HAMP	PF00672.25	53	GFGJDNII_00026	-	535	2.5e-10	40.6	1.1	1	1	2.9e-13	1.1e-09	38.6	1.1	2	53	253	304	252	304	0.92
HATPase_c_3	PF13589.6	137	GFGJDNII_00026	-	535	0.0009199999999999999	19.1	0.0	1	1	4.7e-07	0.0017	18.2	0.0	4	77	427	497	424	514	0.86
HATPase_c_2	PF13581.6	125	GFGJDNII_00026	-	535	0.0098	15.8	0.0	1	1	8.400000000000001e-06	0.03	14.3	0.0	35	106	429	501	395	504	0.66
4PPT_N	PF17837.1	68	GFGJDNII_00027	-	233	8.6e-24	83.4	0.6	1	1	1.6e-27	1.5e-23	82.7	0.6	4	68	50	114	47	114	0.92
ACPS	PF01648.20	114	GFGJDNII_00027	-	233	2e-09	37.6	0.0	1	2	1.3	12000.0	-3.6	0.0	39	54	55	70	48	77	0.59
ACPS	PF01648.20	114	GFGJDNII_00027	-	233	2e-09	37.6	0.0	2	2	4.3000000000000004e-13	3.9e-09	36.7	0.0	1	101	121	213	121	228	0.87
DLH	PF01738.18	217	GFGJDNII_00028	-	263	1.6999999999999998e-47	161.8	1.8	1	1	7.6e-51	1.9e-47	161.6	1.8	11	216	45	261	35	262	0.93
BAAT_C	PF08840.11	213	GFGJDNII_00028	-	263	2.2000000000000002e-08	34.3	0.3	1	2	1.1e-07	0.00027	20.9	0.0	6	57	115	166	113	173	0.93
BAAT_C	PF08840.11	213	GFGJDNII_00028	-	263	2.2000000000000002e-08	34.3	0.3	2	2	0.00011999999999999999	0.3	11.0	0.3	184	210	235	261	175	263	0.66
Peptidase_S9	PF00326.21	212	GFGJDNII_00028	-	263	5.5e-08	32.5	1.1	1	3	0.00073	1.9	7.9	0.1	43	94	110	160	64	169	0.67
Peptidase_S9	PF00326.21	212	GFGJDNII_00028	-	263	5.5e-08	32.5	1.1	2	3	1.6e-08	4e-05	23.2	0.1	142	195	176	229	160	235	0.89
Peptidase_S9	PF00326.21	212	GFGJDNII_00028	-	263	5.5e-08	32.5	1.1	3	3	1.1	2700.0	-2.4	0.0	191	210	244	263	231	263	0.7
Hydrolase_4	PF12146.8	239	GFGJDNII_00028	-	263	5.400000000000001e-06	25.8	1.3	1	2	1.8000000000000001e-06	0.0045	16.3	0.4	16	116	64	170	48	178	0.74
Hydrolase_4	PF12146.8	239	GFGJDNII_00028	-	263	5.400000000000001e-06	25.8	1.3	2	2	0.00022999999999999998	0.58	9.4	0.0	186	235	172	223	161	226	0.82
Abhydrolase_5	PF12695.7	164	GFGJDNII_00028	-	263	0.003	17.4	0.0	1	1	2e-06	0.0051	16.6	0.0	44	141	116	221	99	226	0.79
Abhydrolase_2	PF02230.16	217	GFGJDNII_00028	-	263	0.0077	16.1	0.0	1	1	4.1e-06	0.011000000000000001	15.6	0.0	102	200	128	221	88	230	0.82
Herpes_UL14	PF03580.14	146	GFGJDNII_00028	-	263	0.035	14.4	0.5	1	2	2.6000000000000002e-05	0.067	13.4	0.1	17	66	76	124	65	133	0.79
Herpes_UL14	PF03580.14	146	GFGJDNII_00028	-	263	0.035	14.4	0.5	2	2	2.4	6200.0	-2.7	0.0	18	47	176	205	167	211	0.63
OMP_b-brl	PF13505.6	178	GFGJDNII_00029	-	201	1.1000000000000001e-08	35.4	7.0	1	1	1.3999999999999999e-12	1.2e-08	35.3	7.0	3	160	8	175	6	201	0.73
PagL	PF09411.10	134	GFGJDNII_00029	-	201	0.055	13.6	0.1	1	1	9e-06	0.08	13.1	0.1	38	109	86	165	57	166	0.77
Response_reg	PF00072.24	112	GFGJDNII_00030	-	225	4.3e-28	97.7	0.0	1	2	1.5e-31	9.300000000000002e-28	96.6	0.0	2	111	4	112	3	113	0.98
Response_reg	PF00072.24	112	GFGJDNII_00030	-	225	4.3e-28	97.7	0.0	2	2	0.96	5700.0	-2.5	0.0	32	49	154	171	132	178	0.55
Trans_reg_C	PF00486.28	77	GFGJDNII_00030	-	225	5.700000000000001e-22	77.6	0.6	1	2	1.6	9300.0	-3.2	0.0	50	71	63	81	62	82	0.53
Trans_reg_C	PF00486.28	77	GFGJDNII_00030	-	225	5.700000000000001e-22	77.6	0.6	2	2	1.9000000000000001e-25	1.1e-21	76.7	0.1	3	77	147	220	144	220	0.93
FleQ	PF06490.11	109	GFGJDNII_00030	-	225	0.011000000000000001	16.1	0.0	1	1	3.3e-06	0.02	15.3	0.0	1	81	2	84	2	114	0.82
HATPase_c	PF02518.26	112	GFGJDNII_00031	-	448	1.3999999999999999e-12	48.1	0.0	1	1	1.4e-15	2.4e-12	47.3	0.0	4	110	346	447	343	448	0.88
HATPase_c_2	PF13581.6	125	GFGJDNII_00031	-	448	7.7e-07	29.1	0.0	1	1	8.3e-10	1.5e-06	28.2	0.0	35	113	347	426	335	436	0.86
HisKA	PF00512.25	67	GFGJDNII_00031	-	448	1e-06	28.6	0.3	1	3	2.4	4200.0	-2.1	0.1	47	63	40	56	14	60	0.43
HisKA	PF00512.25	67	GFGJDNII_00031	-	448	1e-06	28.6	0.3	2	3	0.24	430.0	1.1	0.1	38	64	196	234	182	237	0.73
HisKA	PF00512.25	67	GFGJDNII_00031	-	448	1e-06	28.6	0.3	3	3	5.8e-10	1e-06	28.6	0.3	6	62	243	295	239	299	0.87
OmpH	PF03938.14	138	GFGJDNII_00031	-	448	0.0013	19.0	0.1	1	1	1.3e-06	0.0024	18.2	0.1	27	117	235	337	221	349	0.64
HATPase_c_5	PF14501.6	101	GFGJDNII_00031	-	448	0.0029	17.5	0.0	1	1	3.9e-06	0.006999999999999999	16.2	0.0	2	86	344	430	343	434	0.78
HAMP	PF00672.25	53	GFGJDNII_00031	-	448	0.0053	17.1	0.6	1	2	1.8e-05	0.033	14.6	0.7	5	51	187	232	185	234	0.83
HAMP	PF00672.25	53	GFGJDNII_00031	-	448	0.0053	17.1	0.6	2	2	5.8	10000.0	-3.0	0.0	35	44	241	250	237	256	0.73
PhoQ_Sensor	PF08918.10	179	GFGJDNII_00031	-	448	0.0055	16.6	0.0	1	1	6.4e-06	0.011000000000000001	15.5	0.0	3	94	4	99	3	120	0.81
CorA	PF01544.18	292	GFGJDNII_00031	-	448	0.033	13.5	1.2	1	1	3.6e-05	0.065	12.5	1.2	114	223	179	289	160	299	0.68
HATPase_c_3	PF13589.6	137	GFGJDNII_00031	-	448	0.067	13.0	0.0	1	1	7.6e-05	0.14	12.0	0.0	9	57	354	401	343	417	0.81
Methyltr_RsmB-F	PF01189.17	200	GFGJDNII_00031	-	448	0.19	11.3	0.1	1	1	0.00016999999999999999	0.31	10.6	0.1	44	128	272	356	255	362	0.86
SDF	PF00375.18	390	GFGJDNII_00032	-	440	2.799999999999999e-110	369.0	40.2	1	1	1.7999999999999997e-114	3.199999999999999e-110	368.8	40.2	1	390	11	403	11	403	0.98
TrmO	PF01980.16	119	GFGJDNII_00033	-	230	8.100000000000001e-46	155.1	0.0	1	1	1.2e-49	1.1e-45	154.7	0.0	2	119	21	138	20	138	0.98
TrmO_C	PF18389.1	65	GFGJDNII_00033	-	230	1e-17	64.0	0.4	1	1	1.7e-21	1.5e-17	63.4	0.4	3	64	155	216	153	217	0.93
DUF1456	PF07308.13	68	GFGJDNII_00034	-	153	1.8e-50	169.1	0.1	1	2	5.4e-27	9.7e-23	80.3	0.0	1	68	3	70	3	70	0.99
DUF1456	PF07308.13	68	GFGJDNII_00034	-	153	1.8e-50	169.1	0.1	2	2	3.8e-29	6.7e-25	87.2	0.1	1	68	86	153	86	153	0.99
S4	PF01479.25	48	GFGJDNII_00035	-	271	5e-08	32.5	0.1	1	1	5.6999999999999995e-12	1e-07	31.5	0.1	2	43	41	81	40	84	0.85
Acetyltransf_10	PF13673.7	127	GFGJDNII_00036	-	151	2e-17	63.3	0.0	1	1	1.0000000000000001e-20	2.3e-17	63.1	0.0	29	114	51	132	29	147	0.87
Acetyltransf_7	PF13508.7	76	GFGJDNII_00036	-	151	1.1e-12	48.2	0.2	1	1	6.5e-16	1.4999999999999999e-12	47.8	0.2	8	75	58	125	35	126	0.76
Acetyltransf_1	PF00583.25	117	GFGJDNII_00036	-	151	6.700000000000001e-10	39.2	0.1	1	1	3.8e-13	8.599999999999999e-10	38.9	0.1	33	117	53	124	16	124	0.8
Acetyltransf_CG	PF14542.6	80	GFGJDNII_00036	-	151	0.0021	18.2	0.0	1	1	1.5e-06	0.0034	17.5	0.0	30	60	78	108	68	113	0.88
Acetyltransf_15	PF17013.5	210	GFGJDNII_00036	-	151	0.004	16.6	0.0	1	1	2.4e-06	0.0054	16.2	0.0	78	109	78	109	66	125	0.85
Acetyltransf_9	PF13527.7	128	GFGJDNII_00036	-	151	0.0061	16.6	0.0	1	1	3.5000000000000004e-06	0.0079	16.3	0.0	76	127	75	126	9	127	0.92
Acetyltransf_18	PF18014.1	124	GFGJDNII_00036	-	151	0.061	13.2	0.0	1	1	4.1e-05	0.09300000000000001	12.6	0.0	13	104	42	129	40	141	0.85
Acetyltransf_13	PF13880.6	69	GFGJDNII_00036	-	151	0.1	12.6	0.0	1	1	8e-05	0.18	11.8	0.0	7	36	75	104	73	112	0.88
Radical_SAM	PF04055.21	167	GFGJDNII_00037	-	443	1.9e-29	103.2	0.0	1	2	0.42	1300.0	-0.3	0.0	81	133	49	112	12	117	0.58
Radical_SAM	PF04055.21	167	GFGJDNII_00037	-	443	1.9e-29	103.2	0.0	2	2	3.2999999999999997e-32	9.9e-29	100.9	0.0	3	167	147	324	145	324	0.96
TRAM_2	PF18693.1	64	GFGJDNII_00037	-	443	8.7e-22	77.1	1.0	1	1	6.3000000000000005e-25	1.9000000000000003e-21	76.0	1.0	1	64	381	443	381	443	0.95
UPF0004	PF00919.20	98	GFGJDNII_00037	-	443	6.3999999999999996e-21	74.2	0.0	1	1	3.5000000000000004e-24	1.1000000000000001e-20	73.5	0.0	1	86	9	90	9	102	0.89
TRAM	PF01938.20	62	GFGJDNII_00037	-	443	0.013000000000000001	15.5	0.5	1	1	2.1e-05	0.063	13.3	0.5	3	55	380	436	378	443	0.8
